Battery History (0% used, 356 used of 256KB, 7 strings using 592):
                    0 (10) RESET:TIME: 2022-10-30-14-03-47
                    0 (1) 042 status=discharging health=good plug=none temp=455 volt=3573 charge=2528 +running +wake_lock +wifi_radio +phone_scanning +audio +screen phone_state=out +wifi_running +wifi wifi_signal_strength=4 wifi_suppl=completed
                    0 (2) 042 top=u0a35:"com.android.chrome"
                    0 (2) 042 user=0:"0"
                    0 (2) 042 userfg=0:"0"
                    0 (2) 042 tmpwhitelist=u0a8:"broadcast:u0a8:com.google.android.chimera.IntentOperation.TARGETED_INTENT"
                +36ms (2) 042 stats=0:"dump"
             +2s049ms (2) 042 stats=0:"remove-uid"
             +2s332ms (3) 042 -audio stats=0:"remove-uid"
             +3s499ms (2) 042 -tmpwhitelist=u0a8:"broadcast:u0a8:com.google.android.chimera.IntentOperation.TARGETED_INTENT"
             +3s807ms (2) 042 stats=0:"remove-uid"
             +3s824ms (2) 042 stats=0:"remove-uid"
             +3s861ms (2) 042 stats=0:"remove-uid"
             +3s894ms (2) 042 stats=0:"remove-uid"
             +4s310ms (2) 042 stats=0:"remove-uid"
             +4s383ms (2) 042 stats=0:"remove-uid"
             +4s390ms (2) 042 stats=0:"remove-uid"
             +4s394ms (2) 042 stats=0:"remove-uid"
             +4s399ms (2) 042 stats=0:"remove-uid"
             +4s417ms (2) 042 stats=0:"remove-uid"
             +4s441ms (2) 042 stats=0:"remove-uid"
             +4s452ms (2) 042 stats=0:"remove-uid"
             +5s935ms (2) 042 +job=u0a35:"com.android.chrome/org.chromium.components.background_task_scheduler.internal.BackgroundTaskJobService"
             +5s952ms (2) 042 -job=u0a35:"com.android.chrome/org.chromium.components.background_task_scheduler.internal.BackgroundTaskJobService"
            +43s036ms (2) 042 stats=0:"remove-uid"
            +43s956ms (2) 042 stats=0:"remove-uid"
            +45s158ms (2) 042 stats=0:"remove-uid"
            +46s813ms (2) 042 stats=0:"remove-uid"
            +48s599ms (2) 042 stats=0:"remove-uid"
            +50s645ms (2) 042 stats=0:"remove-uid"
            +52s873ms (2) 042 stats=0:"remove-uid"
            +55s372ms (2) 042 stats=0:"remove-uid"
            +58s013ms (2) 042 stats=0:"remove-uid"
          +1m00s939ms (2) 042 stats=0:"remove-uid"
          +1m09s100ms (1) 042 +wifi_scan
          +1m09s348ms (1) 042 -wifi_scan
          +1m16s846ms (2) 042 -top=u0a35:"com.android.chrome"
          +1m16s846ms (2) 042 +top=u0a24:"com.google.android.googlequicksearchbox"
          +1m16s874ms (2) 042 stats=0:"remove-uid"
          +1m17s005ms (3) 042 +audio stats=0:"remove-uid"
          +1m21s787ms (2) 042 stats=0:"dump"
