Battery History (0% used, 400 used of 256KB, 6 strings using 432):
                    0 (10) RESET:TIME: 2022-11-02-12-40-16
                    0 (1) 060 status=discharging health=good plug=none temp=419 volt=3756 charge=3794 +running +wake_lock +wifi_radio +phone_scanning +audio +screen phone_state=out +wifi_running +wifi wifi_signal_strength=4 wifi_suppl=completed
                    0 (2) 060 top=u0a35:"com.android.chrome"
                    0 (2) 060 user=0:"0"
                    0 (2) 060 userfg=0:"0"
                +15ms (2) 060 stats=0:"dump"
             +2s136ms (2) 060 stats=0:"remove-uid"
             +2s265ms (2) 060 stats=0:"remove-uid"
             +2s276ms (2) 060 stats=0:"remove-uid"
             +2s500ms (3) 060 -audio stats=0:"remove-uid"
             +3s610ms (2) 060 stats=0:"remove-uid"
             +3s661ms (2) 060 stats=0:"remove-uid"
             +4s406ms (2) 060 stats=0:"remove-uid"
             +4s476ms (2) 060 stats=0:"remove-uid"
             +4s484ms (2) 060 stats=0:"remove-uid"
             +4s690ms (2) 060 stats=0:"remove-uid"
             +5s067ms (2) 060 stats=0:"remove-uid"
             +5s082ms (2) 060 stats=0:"remove-uid"
             +5s724ms (2) 060 stats=0:"remove-uid"
             +5s771ms (2) 060 +job=u0a35:"com.android.chrome/org.chromium.components.background_task_scheduler.internal.BackgroundTaskJobService"
             +5s785ms (2) 060 -job=u0a35:"com.android.chrome/org.chromium.components.background_task_scheduler.internal.BackgroundTaskJobService"
             +5s907ms (2) 060 stats=0:"remove-uid"
             +6s179ms (2) 060 stats=0:"remove-uid"
             +6s819ms (2) 060 stats=0:"remove-uid"
             +6s903ms (2) 060 stats=0:"remove-uid"
             +6s922ms (2) 060 stats=0:"remove-uid"
             +7s032ms (2) 060 stats=0:"remove-uid"
             +7s079ms (2) 060 stats=0:"remove-uid"
             +7s090ms (2) 060 stats=0:"remove-uid"
            +42s671ms (2) 060 stats=0:"remove-uid"
            +43s531ms (2) 060 stats=0:"remove-uid"
            +44s285ms (2) 060 stats=0:"remove-uid"
            +45s589ms (2) 060 stats=0:"remove-uid"
            +47s088ms (2) 060 stats=0:"remove-uid"
            +48s908ms (2) 060 stats=0:"remove-uid"
            +50s980ms (2) 060 stats=0:"remove-uid"
            +53s396ms (2) 060 stats=0:"remove-uid"
            +56s187ms (2) 060 stats=0:"remove-uid"
            +59s638ms (2) 060 stats=0:"remove-uid"
          +1m16s824ms (2) 060 -top=u0a35:"com.android.chrome"
          +1m16s824ms (2) 060 +top=u0a24:"com.google.android.googlequicksearchbox"
          +1m16s925ms (3) 060 +audio stats=0:"remove-uid"
          +1m17s043ms (2) 060 -audio
          +1m17s048ms (3) 060 +audio stats=0:"remove-uid"
          +1m21s693ms (2) 060 stats=0:"dump"
