Battery History (0% used, 348 used of 256KB, 6 strings using 432):
                    0 (10) RESET:TIME: 2022-10-31-08-33-12
                    0 (1) 053 status=discharging health=good plug=none temp=346 volt=3838 charge=3501 +running +wake_lock +wifi_radio +phone_scanning +audio +screen phone_state=out +wifi_running +wifi wifi_signal_strength=4 wifi_suppl=completed
                    0 (2) 053 top=u0a35:"com.android.chrome"
                    0 (2) 053 user=0:"0"
                    0 (2) 053 userfg=0:"0"
                +15ms (2) 053 stats=0:"dump"
             +2s771ms (3) 053 -audio stats=0:"remove-uid"
             +3s167ms (2) 053 stats=0:"remove-uid"
             +4s496ms (2) 053 stats=0:"remove-uid"
             +4s516ms (2) 053 stats=0:"remove-uid"
             +4s737ms (2) 053 stats=0:"remove-uid"
             +4s756ms (2) 053 stats=0:"remove-uid"
             +4s773ms (2) 053 stats=0:"remove-uid"
             +4s780ms (2) 053 stats=0:"remove-uid"
             +4s790ms (2) 053 stats=0:"remove-uid"
             +4s802ms (2) 053 stats=0:"remove-uid"
             +4s810ms (2) 053 stats=0:"remove-uid"
             +4s821ms (2) 053 stats=0:"remove-uid"
             +4s839ms (2) 053 stats=0:"remove-uid"
             +4s847ms (2) 053 stats=0:"remove-uid"
             +6s195ms (2) 053 +job=u0a35:"com.android.chrome/org.chromium.components.background_task_scheduler.internal.BackgroundTaskJobService"
             +6s205ms (2) 053 -job=u0a35:"com.android.chrome/org.chromium.components.background_task_scheduler.internal.BackgroundTaskJobService"
            +43s487ms (2) 053 stats=0:"remove-uid"
            +44s511ms (2) 053 stats=0:"remove-uid"
            +46s010ms (2) 053 stats=0:"remove-uid"
            +47s742ms (2) 053 stats=0:"remove-uid"
            +47s993ms (2) 053 stats=0:"remove-uid"
            +48s518ms (2) 053 stats=0:"remove-uid"
            +49s257ms (2) 053 stats=0:"remove-uid"
            +50s317ms (2) 053 stats=0:"remove-uid"
            +51s511ms (2) 053 stats=0:"remove-uid"
            +53s500ms (2) 053 stats=0:"remove-uid"
          +1m20s455ms (2) 053 -top=u0a35:"com.android.chrome"
          +1m20s455ms (2) 053 +top=u0a24:"com.google.android.googlequicksearchbox"
          +1m20s611ms (2) 053 stats=0:"remove-uid"
          +1m20s631ms (3) 053 +audio stats=0:"remove-uid"
          +1m20s851ms (2) 053 -audio
          +1m20s868ms (2) 053 +audio
          +1m25s826ms (2) 053 stats=0:"dump"
