Battery History (0% used, 372 used of 256KB, 6 strings using 432):
                    0 (10) RESET:TIME: 2022-10-31-07-50-06
                    0 (1) 072 status=discharging health=good plug=none temp=293 volt=4034 charge=4701 +running +wake_lock +wifi_radio +phone_scanning +audio +screen phone_state=out +wifi_running +wifi wifi_signal_strength=4 wifi_suppl=completed
                    0 (2) 072 top=u0a35:"com.android.chrome"
                    0 (2) 072 user=0:"0"
                    0 (2) 072 userfg=0:"0"
                +21ms (2) 072 stats=0:"dump"
             +2s738ms (2) 072 -audio
             +3s984ms (2) 072 stats=0:"remove-uid"
             +4s046ms (2) 072 stats=0:"remove-uid"
             +4s054ms (2) 072 stats=0:"remove-uid"
             +4s242ms (2) 072 stats=0:"remove-uid"
             +4s311ms (2) 072 stats=0:"remove-uid"
             +4s402ms (2) 072 stats=0:"remove-uid"
             +4s522ms (2) 072 stats=0:"remove-uid"
             +4s533ms (2) 072 stats=0:"remove-uid"
             +4s539ms (2) 072 stats=0:"remove-uid"
             +4s565ms (2) 072 stats=0:"remove-uid"
             +4s577ms (2) 072 stats=0:"remove-uid"
             +4s588ms (2) 072 stats=0:"remove-uid"
             +4s597ms (2) 072 stats=0:"remove-uid"
             +4s606ms (2) 072 stats=0:"remove-uid"
             +4s616ms (2) 072 stats=0:"remove-uid"
             +4s636ms (2) 072 stats=0:"remove-uid"
             +4s993ms (2) 072 stats=0:"remove-uid"
             +5s819ms (2) 072 +job=u0a35:"com.android.chrome/org.chromium.components.background_task_scheduler.internal.BackgroundTaskJobService"
             +5s824ms (2) 072 -job=u0a35:"com.android.chrome/org.chromium.components.background_task_scheduler.internal.BackgroundTaskJobService"
            +42s692ms (2) 072 stats=0:"remove-uid"
            +43s531ms (2) 072 stats=0:"remove-uid"
            +44s721ms (2) 072 stats=0:"remove-uid"
            +46s215ms (2) 072 stats=0:"remove-uid"
            +47s998ms (2) 072 stats=0:"remove-uid"
            +50s044ms (2) 072 stats=0:"remove-uid"
            +52s332ms (2) 072 stats=0:"remove-uid"
            +54s948ms (2) 072 stats=0:"remove-uid"
            +57s805ms (2) 072 stats=0:"remove-uid"
          +1m00s935ms (2) 072 stats=0:"remove-uid"
          +1m20s426ms (2) 072 -top=u0a35:"com.android.chrome"
          +1m20s426ms (3) 072 +audio +top=u0a24:"com.google.android.googlequicksearchbox"
          +1m20s613ms (2) 072 -audio
          +1m20s619ms (3) 072 +audio stats=0:"remove-uid"
          +1m20s694ms (2) 072 stats=0:"remove-uid"
          +1m25s498ms (2) 072 stats=0:"dump"
