Battery History (0% used, 368 used of 256KB, 6 strings using 432):
                    0 (10) RESET:TIME: 2022-11-01-16-31-17
                    0 (1) 039 status=discharging health=good plug=none temp=397 volt=3711 charge=2451 +running +wake_lock +wifi_radio +phone_scanning +audio +screen phone_state=out +wifi_running +wifi wifi_signal_strength=4 wifi_suppl=completed
                    0 (2) 039 top=u0a35:"com.android.chrome"
                    0 (2) 039 user=0:"0"
                    0 (2) 039 userfg=0:"0"
                 +7ms (2) 039 stats=0:"dump"
             +1s746ms (3) 039 -audio stats=0:"remove-uid"
             +3s616ms (2) 039 stats=0:"remove-uid"
             +3s661ms (2) 039 stats=0:"remove-uid"
             +4s044ms (2) 039 stats=0:"remove-uid"
             +4s309ms (2) 039 stats=0:"remove-uid"
             +4s564ms (2) 039 stats=0:"remove-uid"
             +4s569ms (2) 039 stats=0:"remove-uid"
             +4s580ms (2) 039 stats=0:"remove-uid"
             +4s588ms (2) 039 stats=0:"remove-uid"
             +4s615ms (2) 039 stats=0:"remove-uid"
             +4s620ms (2) 039 stats=0:"remove-uid"
             +4s634ms (2) 039 stats=0:"remove-uid"
             +4s699ms (2) 039 stats=0:"remove-uid"
             +4s704ms (2) 039 stats=0:"remove-uid"
             +4s715ms (2) 039 stats=0:"remove-uid"
             +4s718ms (2) 039 stats=0:"remove-uid"
             +5s957ms (2) 039 +job=u0a35:"com.android.chrome/org.chromium.components.background_task_scheduler.internal.BackgroundTaskJobService"
             +5s963ms (2) 039 -job=u0a35:"com.android.chrome/org.chromium.components.background_task_scheduler.internal.BackgroundTaskJobService"
            +38s717ms (1) 039 +wifi_scan
            +38s935ms (1) 039 -wifi_scan
            +42s178ms (2) 039 stats=0:"remove-uid"
            +43s064ms (2) 039 stats=0:"remove-uid"
            +44s449ms (2) 039 stats=0:"remove-uid"
            +46s072ms (2) 039 stats=0:"remove-uid"
            +47s915ms (2) 039 stats=0:"remove-uid"
            +49s948ms (2) 039 stats=0:"remove-uid"
            +52s229ms (2) 039 stats=0:"remove-uid"
            +54s699ms (2) 039 stats=0:"remove-uid"
            +57s458ms (2) 039 stats=0:"remove-uid"
          +1m00s454ms (2) 039 stats=0:"remove-uid"
          +1m20s613ms (2) 039 -top=u0a35:"com.android.chrome"
          +1m20s613ms (3) 039 +audio +top=u0a24:"com.google.android.googlequicksearchbox"
          +1m20s819ms (2) 039 -audio
          +1m20s824ms (3) 039 +audio stats=0:"remove-uid"
          +1m20s878ms (2) 039 stats=0:"remove-uid"
          +1m25s669ms (2) 039 stats=0:"dump"
