Battery History (0% used, 392 used of 256KB, 6 strings using 432):
                    0 (10) RESET:TIME: 2022-10-30-11-12-07
                    0 (1) 100 status=discharging health=good plug=none temp=282 volt=4320 charge=6551 +running +wake_lock +wifi_radio +phone_scanning +audio +screen phone_state=out +wifi_running +wifi wifi_signal_strength=4 wifi_suppl=completed
                    0 (2) 100 top=u0a35:"com.android.chrome"
                    0 (2) 100 user=0:"0"
                    0 (2) 100 userfg=0:"0"
                +12ms (2) 100 stats=0:"dump"
             +1s776ms (2) 100 stats=0:"remove-uid"
             +2s134ms (2) 100 stats=0:"remove-uid"
             +2s268ms (2) 100 stats=0:"remove-uid"
             +2s305ms (2) 100 stats=0:"remove-uid"
             +2s376ms (2) 100 stats=0:"remove-uid"
             +2s410ms (2) 100 stats=0:"remove-uid"
             +2s465ms (3) 100 -audio stats=0:"remove-uid"
             +3s509ms (2) 100 stats=0:"remove-uid"
             +3s518ms (2) 100 stats=0:"remove-uid"
             +3s808ms (2) 100 stats=0:"remove-uid"
             +3s861ms (2) 100 stats=0:"remove-uid"
             +4s168ms (2) 100 stats=0:"remove-uid"
             +4s176ms (2) 100 stats=0:"remove-uid"
             +4s259ms (2) 100 stats=0:"remove-uid"
             +4s394ms (2) 100 stats=0:"remove-uid"
             +4s853ms (2) 100 stats=0:"remove-uid"
             +5s243ms (2) 100 stats=0:"remove-uid"
             +5s262ms (2) 100 stats=0:"remove-uid"
             +5s270ms (2) 100 stats=0:"remove-uid"
             +5s275ms (2) 100 stats=0:"remove-uid"
             +5s993ms (2) 100 +job=u0a35:"com.android.chrome/org.chromium.components.background_task_scheduler.internal.BackgroundTaskJobService"
             +6s005ms (2) 100 -job=u0a35:"com.android.chrome/org.chromium.components.background_task_scheduler.internal.BackgroundTaskJobService"
            +42s026ms (2) 100 stats=0:"remove-uid"
            +42s806ms (2) 100 stats=0:"remove-uid"
            +44s119ms (2) 100 stats=0:"remove-uid"
            +45s696ms (2) 100 stats=0:"remove-uid"
            +47s534ms (2) 100 stats=0:"remove-uid"
            +49s666ms (2) 100 stats=0:"remove-uid"
            +52s202ms (2) 100 stats=0:"remove-uid"
            +55s027ms (2) 100 stats=0:"remove-uid"
            +58s050ms (2) 100 stats=0:"remove-uid"
          +1m01s423ms (2) 100 stats=0:"remove-uid"
          +1m12s982ms (2) 100 -top=u0a35:"com.android.chrome"
          +1m12s982ms (2) 100 +top=u0a24:"com.google.android.googlequicksearchbox"
          +1m13s124ms (3) 100 +audio stats=0:"remove-uid"
          +1m13s243ms (2) 100 -audio
          +1m13s244ms (3) 100 +audio stats=0:"remove-uid"
          +1m18s371ms (2) 100 stats=0:"dump"
